word,freq
inscrição,3.0
instalações,3.0
instalarem,3.0
institucional,3.0
integrada,3.0
integral,3.0
inverno,3.0
irmã,3.0
iss,3.0
ivonete,3.0
jornada,3.0
josué,3.0
judiciário,3.0
jurídica,3.0
lado,3.0
legislação,3.0
legislativo,3.0
lemos,3.0
letivo,3.0
licenciamento,3.0
limpa,3.0
linear,3.0
lúcio,3.0
ludgério,3.0
luta,3.0
macas,3.0
mamedes,3.0
manifestações,3.0
manterem,3.0
marcelino,3.0
materiais,3.0
material,3.0
maternidades,3.0
médica,3.0
meia,3.0
memorial,3.0
mendonça,3.0
menores,3.0
mídia,3.0
militar,3.0
militares,3.0
milton,3.0
moda,3.0
moreira,3.0
morten,3.0
motoristas,3.0
móveis,3.0
multas,3.0
necessidade,3.0
nelson,3.0
nesta,3.0
nilton,3.0
nogueira,3.0
normatiza,3.0
obra,3.0
ordinária,3.0
organizações,3.0
oscar,3.0
osvaldo,3.0
pacheco,3.0
página,3.0
palmeira,3.0
parágrafos,3.0
participação,3.0
parto,3.0
passagem,3.0
passe,3.0
pavimentação,3.0
pensões,3.0
pequeno,3.0
periculosidade,3.0
periódica,3.0
permissão,3.0
pessoal,3.0
pichações,3.0
plenário,3.0
ponto,3.0
portador,3.0
post,3.0
postes,3.0
prática,3.0
prazo,3.0
prestadoras,3.0
preto,3.0
principal,3.0
programas,3.0
próprio,3.0
proventos,3.0
providencias,3.0
proximidades,3.0
química,3.0
químico,3.0
racional,3.0
ramiro,3.0
reabilitação,3.0
realizada,3.0
receberem,3.0
receita,3.0
recreação,3.0
reduzida,3.0
regime,3.0
régis,3.0
registros,3.0
regularização,3.0
reinserção,3.0
remuneração,3.0
renda,3.0
renovação,3.0
responsáveis,3.0
reverendo,3.0
risco,3.0
rodoviário,3.0
rosa,3.0
sabino,3.0
sales,3.0
samu,3.0
sanitário,3.0
seção,3.0
sede,3.0
seis,3.0
selo,3.0
senhora,3.0
sessão,3.0
shaolin,3.0
shoppings,3.0
sindicato,3.0
situada,3.0
sociedade,3.0
socorro,3.0
solenidades,3.0
substituição,3.0
suely,3.0
superior,3.0
sylvestre,3.0
tenente,3.0
terezinha,3.0
termos,3.0
tipo,3.0
torres,3.0
trabalhador,3.0
trabalhadores,3.0
transmissão,3.0
transtornos,3.0
trata,3.0
treze,3.0
trinta,3.0
ubsf,3.0
upa,3.0
urbanização,3.0
valmir,3.0
velho,3.0
venda,3.0
veterinário,3.0
viabilização,3.0
victor,3.0
vigilantes,3.0
vilar,3.0
visível,3.0
zélia,3.0
aacd,2.0
abandonar,2.0
abdias,2.0
aberto,2.0
abuso,2.0
acompanhante,2.0
acrescentalhe,2.0
açucar,2.0
adalberto,2.0
adaptação,2.0
adequados,2.0
adjuntos,2.0
administrativas,2.0
adote,2.0
advogado,2.0
aécio,2.0
aferição,2.0
afins,2.0
afixarem,2.0
agassiz,2.0
agenor,2.0
aguinaldo,2.0
alcoólica,2.0
alerta,2.0
alfredo,2.0
alicio,2.0
alínea,2.0
alíneas,2.0
alíquota,2.0
alterações,2.0
alterado,2.0
alternativo,2.0
altura,2.0
aluisio,2.0
aluíso,2.0
aluizio,2.0
aluno,2.0
alusivo,2.0
amador,2.0
ambulâncias,2.0
amde,2.0
amiga,2.0
amortização,2.0
anexo,2.0
animal,2.0
aniversário,2.0
antonia,2.0
apacg,2.0
aparelho,2.0
apenas,2.0
aplicadas,2.0
apolônio,2.0
aposentados,2.0
arbóreo,2.0
aristides,2.0
artesão,2.0
artesianos,2.0
arthur,2.0
artístico,2.0
arts,2.0
asfora,2.0
assegura,2.0
assembleia,2.0
assento,2.0
assessor,2.0
assim,2.0
assistencial,2.0
atacadistas,2.0
ataíde,2.0
atalmir,2.0
atividade,2.0
atuam,2.0
atuarial,2.0
automotores,2.0
autores,2.0
avaliação,2.0
aviso,2.0
bandeiras,2.0
banheiro,2.0
barboza,2.0
barragem,2.0
batalhão,2.0
belarmino,2.0
bemestar,2.0
beneficientes,2.0
benefícios,2.0
biliu,2.0
biografia,2.0
biomédica,2.0
biró,2.0
boates,2.0
bocas,2.0
botânico,2.0
braille,2.0
brasil,2.0
bruno,2.0
bud,2.0
caçambas,2.0
cadastramento,2.0
calixto,2.0
call,2.0
calvário,2.0
camelo,2.0
câmeras,2.0
campanhas,2.0
campinenses,2.0
candidatos,2.0
cândido,2.0
canteiro,2.0
capacitar,2.0
cardoso,2.0
carga,2.0
caridade,2.0
cariri,2.0
carmo,2.0
carnaval,2.0
carneiro,2.0
carolino,2.0
cartão,2.0
cartaz,2.0
carteira,2.0
cartões,2.0
caso,2.0
cecília,2.0
cemitérios,2.0
center,2.0
centrac,2.0
certidão,2.0
certificação,2.0
certificado,2.0
cesar,2.0
cessão,2.0
chama,2.0
chanda,2.0
chaves,2.0
ciclomotores,2.0
cidades,2.0
cientista,2.0
cimplementar,2.0
cinquenta,2.0
cirilo,2.0
civis,2.0
clemente,2.0
clemídia,2.0
clínica,2.0
clubes,2.0
coêlho,2.0
coletoras,2.0
coletores,2.0
colinas,2.0
colo,2.0
colocação,2.0
combustível,2.0
começou,2.0
comida,2.0
compelmentar,2.0
complementação,2.0
compras,2.0
comunitárias,2.0
condomínios,2.0
conexão,2.0
confecçõe,2.0
conforme,2.0
conhecimento,2.0
conselhos,2.0
consolida,2.0
constar,2.0
construida,2.0
consultas,2.0
consumidores,2.0
contas,2.0
contendo,2.0
conteúdos,2.0
contrapartida,2.0
convivência,2.0
coração,2.0
correspondentes,2.0
coutinho,2.0
couvert,2.0
criador,2.0
crime,2.0
cristo,2.0
cuidadores,2.0
curricular,2.0
custeio,2.0
darí,2.0
davi,2.0
débito,2.0
decreta,2.0
dedé,2.0
dedetização,2.0
déficit,2.0
definitiva,2.0
delegado,2.0
dengue,2.0
dependente,2.0
dependentes,2.0
descartáveis,2.0
descartável,2.0
desfibrilador,2.0
despesa,2.0
destaque,2.0
destinado,2.0
destinados,2.0
determinado,2.0
deus,2.0
devidamente,2.0
didáticos,2.0
difusos,2.0
dinamérica,2.0
dinheiro,2.0
diomar,2.0
diplomas,2.0
dispensa,2.0
disponibilidade,2.0
disponibilizam,2.0
disposição,2.0
divulgação,2.0
doador,2.0
doadores,2.0
doença,2.0
domingos,2.0
doulas,2.0
drogas,2.0
duarte,2.0
dulce,2.0
econômico,2.0
editorial,2.0
educacionais,2.0
educador,2.0
educativas,2.0
educativos,2.0
edvaldo,2.0
efetivo,2.0
efetuarem,2.0
egito,2.0
eletrônica,2.0
emílio,2.0
empreendimento,2.0
empreendimentos,2.0
empresarial,2.0
encontro,2.0
enfermeira,2.0
enfermeiros,2.0
entidade,2.0
entidades,2.0
entorno,2.0
entradas,2.0
entulhos,2.0
epaminondas,2.0
equipamento,2.0
equipe,2.0
escoamento,2.0
especializado,2.0
esposas,2.0
estabeleçam,2.0
estabelecido,2.0
estádio,2.0
estar,2.0
estima,2.0
estudante,2.0
estudo,2.0
etanol,2.0
eurídice,2.0
evangélicos,2.0
evangelização,2.0
excepcional,2.0
execução,2.0
exibição,2.0
exibições,2.0
exigências,2.0
existente,2.0
exmo,2.0
exposições,2.0
externo,2.0
fachada,2.0
fala,2.0
falcão,2.0
famílias,2.0
faustino,2.0
federalcefpac,2.0
feito,2.0
feriado,2.0
ferreia,2.0
ficam,2.0
filhos,2.0
finais,2.0
final,2.0
finalidade,2.0
financiamento,2.0
firmino,2.0
físicas,2.0
fisioterapia,2.0
fixar,2.0
flávio,2.0
florentino,2.0
floriano,2.0
foco,2.0
fornecidos,2.0
forró,2.0
francinete,2.0
frei,2.0
frota,2.0
função,2.0
funções,2.0
gabinete,2.0
garantia,2.0
gás,2.0
gav,2.0
gel,2.0
geni,2.0
gerais,2.0
gerson,2.0
gestante,2.0
gestor,2.0
gestores,2.0
glória,2.0
gome,2.0
guerreiro,2.0
guia,2.0
helder,2.0
henriques,2.0
henry,2.0
heraldo,2.0
herculano,2.0
higiene,2.0
higienização,2.0
holanda,2.0
horácio,2.0
horária,2.0
horários,2.0
horizonte,2.0
horto,2.0
humor,2.0
imediato,2.0
imobiliário,2.0
implementar,2.0
impressos,2.0
inclusiva,2.0
